brand,title,type,price,priceWithCurrency,available,availableText,sold
Carolina Herrera,Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,43.99,US $43.99/ea,2.0,2 available / 393 sold,393.0
As Shown,Parfums de Marly Delina La Rosee Eau de Parfum 2.5 Fl Oz/75ml Spray for Women,Eau de Parfum,79.99,US $79.99,5.0,5 available / 40 sold,40.0
PRADA,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,Eau de Parfum,59.99,US $59.99,10.0,More than 10 available / 35 sold,35.0
As Show,J'adore Parfum D'eau by Christian 3.4 oz EDP Fragrance for Women New In Box,Eau de Parfum,59.99,US $59.99/ea,10.0,More than 10 available / 9 sold,9.0
Khadlaj,"Shiyaaka for Men EDP Spray 100ML (3.4 FL.OZ) By Khadlaj (Woody, Aromatic, Earth)",Eau de Parfum,29.99,US $29.99/ea,10.0,More than 10 available,0.0
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz 100ML Eau De Parfum Brand New Sealed In Box,Eau de Parfum,51.99,US $51.99/ea,8.0,8 available / 184 sold,184.0
AS SHOW,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box US,Eau de Parfum,58.99,US $58.99,0.0,Out of Stock / 18 sold,18.0
Versace,Versace Bright Crystal Women EDT 6.7 oz 200 ml New Sealed in Box,Eau de Toilette,52.79,US $52.79/ea,6.0,6 available / 258 sold,258.0
Versace,Versace Bright Crystal by Versace for Women EDT Spray 3.0 oz / 90 ml New In Box,Eau de Toilette,29.99,US $29.99,0.0,Last One / 251 sold,251.0
Lattafa,Fakhar by Lattafa Eau de Parfum 3.4 oz / 100 ml Spray for Men,Eau de Parfum,22.75,US $22.75/ea,10.0,More than 10 available / 174 sold,174.0
Yves Saint Laurent,Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed,Eau de Parfum,39.99,US $39.99/ea,10.0,More than 10 available / 77 sold,77.0
Gucci,Gucci Bloom 3.3oz / 3.4oz Eau de Parfum Women's Fragrance New Sealed,Eau de Parfum,64.99,US $64.99/ea,10.0,More than 10 available / 35 sold,35.0
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz Eau de parfum Spray New & Sealed,Eau de Parfum,60.99,US $60.99/ea,2.0,2 available / 51 sold,51.0
Carolina Herrera,Good Girl by Carolina Herrera 2.7 fl oz Spray Eau De Parfum New & Sealed,Eau de Parfum,43.49,US $43.49/ea,2.0,2 available / 20 sold,20.0
Coach,Coach Floral 3.0 oz EDP eau de parfum spray womens perfume 90ml Tester,Eau de Parfum,29.2,US $29.20/ea,10.0,More than 10 available / 505 sold,505.0
Guerlain,Guerlain NEROLI OUTRENOIR Eau de Parfum 2ml /.06oz Sample Spray NIB,Eau de Parfum,13.0,US $13.00,10.0,More than 10 available / 94 sold,94.0
Philosophy,"Amazing Grace by Philosophy, 4 oz EDP Intense Spray for Women",Eau De Parfum,39.69,US $39.69/ea,10.0,More than 10 available / 234 sold,234.0
Marc Jacobs,Marc Jacobs Decadence For Women by Marc Jacobs 3.4 oz 100ml EDP Spray New,Eau de Parfum,59.99,US $59.99,6.0,6 available / 34 sold,34.0
AS SHOWN,PRADA Paradoxe By Prada EDP 3.0oz/90ml Spray Perfume For Women New In Box USA,Eau de Parfum,59.99,US $59.99,0.0,Last One / 43 sold,43.0
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE WOMEN 1.5ml .05oz x 5 PERFUME SAMPLES,Eau de Parfum,11.0,US $11.00,10.0,"More than 10 available / 1,613 sold",1613.0
QRC,Oxytocin-N 15iu Per Spray 1oz (30ml),Spray,27.0,US $27.00/ea,10.0,More than 10 available / 218 sold,218.0
~ CREPE ERASE ~,CREPE ERASE-BODY FIRM ADVANCED BODY REPAIR TREATMENT ULTR- 3.3 OZ  Sealed W/OBox,~ BODY FIRM ADVANCED BODY REPAIR TREATMENT ~,29.99,US $29.99,10.0,More than 10 available / 1 sold,1.0
Unbranded,Lattafa YARA by Lattafa 3.4 Oz (100 ml) EDP Eau De Parfum Spray for Women.,Eau de Parfum,16.27,US $16.27/ea,300.0,300 available / 38 sold,38.0
YSL,Libre by Yves Saint Laurent YSL 3 oz EDP Perfume for Women New in Box,Eau de Parfum,54.95,US $54.95,0.0,Last One / 25 sold,25.0
